movie_id,description,number_different_values
tt6740292,"[['22 year-old Charleston slave Robert Smalls steals a Confederate gunship and sails his family and the slave crew to freedom, persuading Abraham Lincoln to enlist black soldiers and turn the tide of the Civil War.'], ['22 year-old enslaved man Robert Smalls steals a Confederate gunship and sails his family and the enslaved crew to freedom, persuading Abraham Lincoln to enlist Black soldiers and turn the tide of the Civil War.']]",2
tt5922940,"[['Add a Plot'], ['Stefano is a contemporary ""ronin"", a man adrift with the soul of a samurai and the conviction that to achieve peace it is necessary to wage war.'], ['Add a Plot']]",2
tt5914996,"[['Adaption of the sixth Light Novel of series, it follows the story of two new characters, Riku and Schwi, during the events of the Great War prior to the Ten Covenants.'], ['Adaption of the sixth Light Novel of series, it follows the story of two new characters, Riku and Schwi, during the events of the Great War prior to the Ten Covenants.'], ['Adaption of the sixth Light Novel of series, it follows the story of two new characters - Riku and Schwi - during the events of the Great War, prior to the Ten Covenants.'], ['Adaption of the sixth Light Novel of series, it follows the story of two new characters - Riku and Schwi - during the events of the Great War, prior to the Ten Covenants.']]",2
tt5136164,"[['Add a Plot'], ['A little boy, Iqbal, is kidnapped by a carpet dealer who forces him to work in his workshop. With no fear or reproach, he will do everything he can to save himself and his unfortunate friends.']]",2
tt4412528,"[['Set in a small town near the North Pole where roads lead to nowhere, the story follows Roman and Lucy, two burning souls who come together to make a leap for life and inner peace.'], ['Set in a small town near the North Pole where roads lead to nowhere, the story follows Roman (DeHaan) and Lucy (Maslany), two burning souls who come together to make a leap for life and inner peace.']]",2
tt4299828,"[['Mark is a fighter who is taken in the backseat of a car to fight in underground combats. In his way, he meets Sandy, a young and beautiful prostitute. Both share the same desire: forget the...                See full summary\xa0»'], ['Mark, an undercover cop, is hiding in the world of underground combats from a secret mission that went wrong. He meets Sandy, a beautiful prostitute and a lost soul like him. When Mark is ...                See full summary\xa0»'], ['Mark is a fighter who is taken in the backseat of a car to fight in underground combats. In his way, he meets Sandy, a young and beautiful prostitute. Both share the same desire: forget the...                See full summary\xa0»'], ['Mark is a fighter who is taken in the backseat of a car to fight in underground combats. In his way, he meets Sandy, a young and beautiful prostitute. Both share the same desire: forget the...                See full summary\xa0»'], ['Mark is a fighter who is taken in the backseat of a car to fight in underground combats. In his way, he meets Sandy, a young and beautiful prostitute. Both share the same desire: forget the...                See full summary\xa0»']]",2
tt3679040,"[[""The eldest brother who refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him""], ['Three brothers-where the two younger siblings must wait to marry until their elder brother becomes attached.']]",2
tt26734775,"[['Leo, Jake and Cormac, three stick figures who are locally known as ""The Bros Pros"" are dismissed from their old job after escaping a prison. But it was all because of a new leader Named ...                See full summary\xa0»'], ['Add a Plot']]",2
tt26604863,"[['Add a Plot'], ['Rosa is a little insecure and dutiful flower fairy who always lived alone in her rosebush. More than anything she dreams of having a friend, but she is scared of everything and never dared ...                See full summary\xa0»']]",2
tt26459827,"[['Add a Plot'], [""Venizelos: The Struggle for Asia Minor follows one of modern Greece's greatest politicians as he faces formidable challenges during the critical decade from the Balkan Wars and World War I ...                See full summary\xa0»""]]",2
tt26316468,"[['Add a Plot'], ['As Sir Topham Hatt begins another restoration, Hawin tries desperately to hide the truth from Edward and Rusty. The nightmares will never end.']]",2
tt2629322,"[['This is an extraordinary tale from over 2600 years ago, of a Prince who is endowed with everything he needs and more. Luxury, palaces and all hearts desires, are provided to him by his ...                See full summary\xa0»'], [""This is an extraordinary tale from over 2600 years ago, of a Prince who is endowed with everything he needs and more. Luxury, palaces, and all heart's-desires are provided to him by his ...                See full summary\xa0»""]]",2
tt26235412,"[['Families of two different cultures join hands and come together for love, humanity, and peace with a strong message of national integrity'], ['Add a Plot']]",2
tt26219228,"[['The bird attack continues, this time in San Francisco, California.'], ['Add a Plot']]",2
tt2576928,"[['A construction company, in order to win a tender for the construction of a large stadium, is forced to assemble from its employees - a football team. And all because the customer, more than...                See full summary\xa0»'], ['Add a Plot']]",2
tt25049058,"[['The movie describes the life o the Virgin Mary from the Crucifixion till her miraculous departure/death.'], ['The movie portrays the life of the Virgin Mary from the Crucifixion (33AD) till her miraculous departure/death (44AD).']]",2
tt10764018,"[['Add a Plot'], [""Time Fighters is the first film cut from Tatsunoko's Time Bokan by Jim Terry's Kidpix Productions. It is mostly made up of early episodes of the show, including the premiere.""], ['Add a Plot'], ['Add a Plot'], ['Add a Plot']]",2
tt10084832,"[['The plot is unknown at this time.'], ['A stifled city girl ""Nellie"", discovers a mysterious nomad ""Ben"", with a bizarre condition, which rips them inexplicably across every corner of the earth.']]",2
tt0018634,"[['A young air mail pilot arouses the wrath of the father of the girl he loves, the result being that he is forbidden to see her. However, he finds that his rival plans to rob the air mail. ...                See full summary\xa0»'], ['Add a Plot'], ['Add a Plot']]",2
tt0173080,"[[""When Vishal does not agree of Suraj and Muskaan's relationship, Suraj decides to win Vishal's heart for marrying Muskaan.""], [""Muskaan (Kajol) is an orphan girl living on a farm run by her overly-protective older brother, Vishal (Arbaaz Khan) and their 'Chachu' (Dharmendra). Muskaan's childhood friend, Ujaala (...                See full summary\xa0»""]]",2
tt0140355,"[[""A rancher falls in love with his friend's sister, but love is put to the test when his friend betrays him and joins the bandits who want to steal his cattle.""], ['Add a Plot']]",2
tt0127897,"[['Add a Plot'], ['Evelyn Milton debuts as a dancer at the Empire theatre.']]",2
tt0121283,"[['Add a Plot'], [""Maria is a sweet child. She hasn't father and doesn't like her mother. She has a boyfriend, A bandit who would like to change his class.""], ['Add a Plot']]",2
tt0111119,"[[""The love story between a famous rock singer, Awie, and her lover Wati who is prevented by Wati's brother, Azman and Ziana who fall in love with Awie try to make difference with them.""], ['Boy meets girl at school, brother of girl not too keen, ending in mud-wrestling.']]",2
tt0107692,"[['A vagabond swordsman is aided by a kunoichi and a spy in battling a demonic clan of killers - led by a ghost from his past - who are bent on overthrowing the Tokugawa Shogunate.'], ['A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.'], ['A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.'], ['A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.'], ['A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.']]",2
tt0099656,"[['Elderly Scott kills himself after a heart attack wrecks his body, but then comes back as a ghost and convinces his loving young hot wife Kate to pick and kill a young man in order for Scott to possess his body and be with her again.'], ['Elderly Scott kills himself after a heart attack wrecks his body, but then comes back as a ghost and convinces his loving young hot wife Katie to pick and kill a young man in order for Scott to possess his body and be with her again.'], ['Elderly Scott kills himself after a heart attack wrecks his body, but then comes back as a ghost and convinces his loving young hot wife Kate to pick and kill a young man in order for Scott to possess his body and be with her again.']]",2
tt0095619,"[['Add a Plot'], ['Based on the work by Fernando Pessoa - a ""message"" about the destinies of Portugal - not just in isolation but looking at them as precursors and announcers of the fate of the entire planet.']]",2
tt0093779,"[[""A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.""], [""While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.""], [""While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.""], [""While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.""]]",2
tt0084535,"[['Before her death, the queen mother asked the fairy that her youngest son should be loved by a girl for whom he would be the only happiness. The fairy was wise and therefore - turned the young man into a wild beast.'], ['Add a Plot'], ['Add a Plot'], ['Add a Plot']]",2
tt0083567,"[[""A French psychologist investigates about famous suicidal women. She finds the case of Antonieta Rivas Mercado, a Mexican writer who died inside Paris' Notre Dame in 1931. To follow the ...                See full summary\xa0»""], [""Anna uncovers an incident involving a young Mexican woman, Antonieta, while doing research for a book on women's suicides in the XXth century. In 1931, in the Notre Dame Cathedral in Paris, Antonieta shot herself through the heart.""]]",2
tt0074846,"[['The little mermaid, one of the daughters of the sea king, seeing the prince on the deck of a luxurious ship, falls in love with him. But during a storm, the ship crashes against a rock. The little mermaid saves her lover from death.'], ['The little mermaid rescues a prince from drowning and falls in love with him. To be with him, she makes a deal with the evil sorceress: her beautiful voice against a life on land. It seems ...                See full summary\xa0»'], ['The little mermaid rescues a prince from drowning and falls in love with him. To be with him, she makes a deal with the evil sorceress: her beautiful voice against a life on land. It seems ...                See full summary\xa0»']]",2
tt0065588,"[['In order to foil the enemy aliens\' ""Cleopatra Plan"", three people from the future are spiritually sent back to Cleopatra\'s time to understand the enemy intentions.'], [""To decipher a scheme plotted by enemy aliens, three agents from the future travel to Cleopatra's time, where they witness her romances with Caesar and Mark Antony.""], [""To decipher a scheme plotted by enemy aliens, three agents from the future travel to Cleopatra's time, where they witness her romances with Caesar and Mark Antony.""], ['In order to foil the enemy aliens\' ""Cleopatra Plan"", three people from the future are spiritually sent back to Cleopatra\'s time to understand the enemy intentions.'], ['In order to foil the enemy aliens\' ""Cleopatra Plan"", three people from the future are spiritually sent back to Cleopatra\'s time to understand the enemy intentions.']]",2
tt0063456,"[[""When a mentally disturbed young man tells a pretty girl that he's a secret agent, she believes him, and murder and mayhem ensue.""], [""When a mentally-disturbed young man tells a pretty girl that he's a secret agent, she believes him; murder and mayhem ensue.""], [""When a mentally disturbed young man tells a pretty girl that he's a secret agent, she believes him, and murder and mayhem ensue.""]]",2
tt0058423,"[['How difficult it is to be a real person. This was fully felt ""in his own skin"" by the bear, whom the wizard turned into a beautiful young man. The most terrible was the condition set by the magician.'], ['In a romantic and philosophical tale of magic and love, a mischievous Sorcerer turns a bear into a young man. Unhappy in his new state, the former bear, with the help of the magician and ...                See full summary\xa0»']]",2
tt0049180,"[['Spanish right-wingers equally devoted to Catholic religion and Franco dictatorship, go soldiering as volunteers with the Germans when these started hostilities against Russia (1943), then ...                See full summary\xa0»'], [""Right-wing Spaniards who are equally devoted to Catholicism and Franco's dictatorship volunteer as soldiers to fight alongside the Germans when Germany invades the Soviet Union. When they ...                See full summary\xa0»""]]",2
tt0048038,"[[""The second part of the Ernst Thaelmann films encompasses the time period between 1930 and Thaelmann's murder in 1944. It shows Thaelmann's battle to achieve a united front with all German ...                See full summary\xa0»""], [""The second part of the Ernst Thälmann films encompasses the time period between 1930 and Thälmann's murder in 1944. It shows Thälmann's battle to achieve a united front with all German ...                See full summary\xa0»""]]",2
tt0041861,"[[""Khalifa Haroon instructs his daughter, Shabnam, to keep her face in a veil as she resembles Shubi, the region's Shehzadi. With soldiers under the command of Siparsala Zaber terrorizing the ...                See full summary\xa0»""], ['Add a Plot']]",2
tt0036367,"[['A group of nurses returning from the war in the Philippines recall their experiences in combat and in love.'], ['A group of nurses returning from the war in the Phillippines recall their experiences in combat and in love.']]",2
tt0033870,"[['San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.'], ['San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.'], ['San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.'], ['San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.']]",2
tt0032710,"[['Life story of the musical star from her discovery in 1890 by band leader Tony Pastor till her retirement in 1912 when she married newspaperman Alexander Moore.'], ['The life story of the musical star from her discovery in 1890 by bandleader Tony Pastor until her retirement in 1912, when she married newspaperman Alexander Moore.']]",2
tt0032179,"[[""After Larry Darrant accidentally kills his lover's estranged blackmailing husband, someone else is arrested for the crime. Larry and Wanda have just three weeks together before the trial ...                See full summary\xa0»""], [""After Larry accidentally kills his lover Wanda's estranged blackmailing husband, someone else is arrested for the crime. Larry and Wanda nervously await the verdict: if the innocent suspect is found guilty then Larry will give himself up.""]]",2
tt0018926,"[['Add a Plot'], ['A saxophone player Clyde, who busks on the San Francisco Bay waterfront. One night, he meets Flowers, and teaches her to dance, but finds that ""Blackjack"", the leader of a ruthless gang, is also in love with her.']]",2
tt0018662,"[[""Jack Dunton, an honest gambler, discovers that his ward, Verde, wants to study mine engineering, and he begins to cheat at cards in order to finance the boy's education. Returning from ...                See full summary\xa0»""], ['Add a Plot']]",2
tt0144608,"[['The story of the legendary sailor who helps a beautiful princess save her father and their seaside kingdom from the clutches of an Evil Wizard.'], ['The sailor is ""persuaded"" by a Princess to help her rescue her kingdom from something fishy.'], ['The sailor is ""persuaded"" by a Princess to help her rescue her kingdom from something fishy.']]",2
tt0181627,"[['In a troubled African village, an unusual baby is born.'], ['Kirikou, an unusual little boy, must search the wisdom of the forbidden mountain in order to save his village from a spell cast by the evil sorceress Karaba'], ['In a troubled African village, an unusual baby is born.'], ['In a troubled African village, an unusual baby is born.']]",2
tt0824747,"[['Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.'], ['Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.'], ['Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.'], ['Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.'], ['Grief-stricken mother Christine Collins takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.']]",2
tt0181850,"[['A jealously raging woman wishes her lover dead, then returns to discover him murdered.'], ['Michael and Janie are a pair of young grad students living together on a quiet college campus. One day, Janie discovers that Michael has been cheating on her. She walks out on him, only to ...                See full summary\xa0»'], ['Michael and Janie are a pair of young grad students living together on a quiet college campus. One day, Janie discovers that Michael has been cheating on her. She walks out on him, only to ...                See full summary\xa0»']]",2
tt0479952,"[['The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.'], ['The Madagascar animals fly back to New York City, but crash-land on an African nature reserve in Kenya, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.'], ['The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.']]",2
tt0474747,"[['Story of two friends Iqbal Jah and Nawab-Ud-Dowla. To strengthen their friendship, Iqbal Jah had arranged the marriage of his only daughter Hina with Aftab, the son of Nawab-Ud-Dowla. But ...                See full summary\xa0»'], ['Add a Plot']]",2
tt0465066,"[['Sa Ilalim Ng Cogon is a mystery action horror thriller that tells the story of Sam (Yul Servo), a former soldier who unintentionally gets disturb in a robbery gone wrong.Escaping with the ...                See full summary\xa0»'], ['Sam is a former soldier on the lam from a heist gone terribly wrong. On a desolate road, he comes across an abandoned estate fronted by creepy stone gargoyles and hides from the gangsters ...                See full summary\xa0»'], ['Sa Ilalim Ng Cogon is a mystery action horror thriller that tells the story of Sam (Yul Servo), a former soldier who unintentionally gets disturb in a robbery gone wrong.Escaping with the ...                See full summary\xa0»'], ['Sa Ilalim Ng Cogon is a mystery action horror thriller that tells the story of Sam (Yul Servo), a former soldier who unintentionally gets disturb in a robbery gone wrong.Escaping with the ...                See full summary\xa0»']]",2
tt0383009,"[['Add a Plot'], [""Eduard de Siscart, firstborn of an aristocratic family, supports the resistance against Franco's forces. Precisely for this reason, when the Civil War ends (1936-1939) he is forced into exile.""]]",2
tt0382585,"[['An undercover cop and traffic enforcer who fall in love while they dismantle a crime syndicate.'], ['Add a Plot']]",2
tt0327628,"[['When an ancient treasure is violated by Chinese soldiers, each of their wives become pregnant and possessed simultaneously. A rogue priest and a chef must try and kill the demons before they can infest the entire world.'], ['When an ancient treasure is violated by a military general, each of his concubines becomes pregnant with a demonic baby. A rogue priest and a chef must try and kill the demons before they can infest the entire world.']]",2
tt0314588,"[['1941 A Soviet merchant ship arrived at an Italian port. Sailor Roman heard the singing of the beautiful Francesca and fell in love. But the war broke out and separated the lovers.'], ['Add a Plot']]",2
