Description,True Labels,Predicted Labels
"Laurie believe that it be possible to communicate with plant via telepathy and devote all her time and love to they her plant do warn her of her sister Rilla ""s"" new boyfriend Robert when Laurie be find dead on the street under her balcony one morning Rilla doubt that it be accident only plant be witness that night so she try to find way to learn the truth from it",['Thriller'],['Thriller']
"Vikas and Aarti ""s"" happy life be ruin by gruesome incident cause psychological distance between they will they be able to overcome the stigma and rekindle their love","['Drama', 'Romance']","['Drama', 'Romance']"
Joe Zany have be bashful around girl since he be baby and have violent spell of hiccuping when he be kiss by one his father utility magnate J.B. Zany call in the service of escort bureau manager Bob Norman and offer he fat fee if he can cure Joe learning that Joe be not scared of old lady Bob take he to lake resort where there be many girl and tell he they be old lady who have have face lift neither Bob nor Joe know that J.B. be try to buy all the property around the lake for electric power project and have two agent on the job Stafford and Murph Stafford be try to persuade resort owner Lois Marlow to sell out but she refuse though her guest be leave because there be no man around she tell they that Joe be millionaire playboy and the girl decide to stay and work their wile on he Stafford and Murph anxious for the guest to leave so Lois will sell out decide to try and scare Joe away,"['Comedy', 'Romance']","['Comedy', 'Romance']"
Kung Fu master assemble guard to escort ail person through dangerous Stormy Hills terrain infest with bandit savage and evil monk to reach doctor before it be too late,['Action'],['Action']
apprentice farmer Sammo Hung venture to the city and help his family battle gang of thug,"['Action', 'Comedy']","['Action', 'Comedy']"
Eva be young woman who wake up tie and blindfold inside van just to discover that the earth have be invade by alien,['Sci-Fi'],['Sci-Fi']
"Don want criminal die in police chase DSP ""DSilva"" be the only one who know about his death and to get hold of the gang he train Don-lookalike Vijay but Vijay face danger from the police and from within the gang","['Action', 'Crime', 'Thriller']","['Action', 'Crime', 'Thriller']"
antique shop spirited give out due punishment for bad deed your hidden past will become your deadly present the twisted ending will make this movie the next hot trend topic,"['Horror', 'Thriller']","['Horror', 'Thriller']"
story of complex emotion regard beautiful young girl tear between her handsome fiancée and kind wealthy man who both admire her,"['Drama', 'Romance']","['Drama', 'Romance']"
Babak who suffer from Leukemia fall in love with famous singer name Parvaneh although at first she take he for grant but gradually relationship begin that change their life,"['Drama', 'Romance']","['Drama', 'Romance']"
after the destruction of the Twelve Colonies of Mankind the last major fighter carrier lead makeshift fugitive fleet on desperate search for the legendary planet Earth,"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']"
peasant life in feudal farm in rural Italy at the end of the 19th century,"['Drama', 'History']","['Drama', 'History']"
for initiation stunt five college woman be lock in Kentucky hospital build in 1910 where 63000 person die from disease know as the white plague deep under the hospital be the death Tunnel which once be use to secretly remove the dead from the grounds,['Horror'],['Horror']
secret bioweapon lab invade by mercenary become house of horror when they encounter MR HELL ancient serial killer who take soul by remove his victim eye,['Horror'],['Horror']
controversial osteopath set out to cure the daughter of famous surgeon and fall in love with her in the process,"['Drama', 'Romance']","['Drama', 'Romance']"
group of fashion model disturb the tomb of mummy and revive ancient curse along with the mummy rising slave who be bury in the desert thousand of year before also rise with craving for human flesh,['Horror'],['Horror']
